Date,Trips over the past 24-hours,Miles traveled today,Miles traveled to date,Total Annual Members (All Time),24-Hour Passes Purchased,7-Day Passes Purchased,3-Day Passes Purchased
1/25/2015,10235,14421,26402951,127559,202,4,0
1/26/2015,4537,5979,26408930,127566,15,0,0
1/27/2015,1405,2343,26411273,127569,36,1,0
1/28/2015,6223,9907,26421180,127575,12,2,0
1/29/2015,9845,14171,26435351,127586,31,3,0
1/30/2015,9943,12945,26448296,127595,21,6,0
1/31/2015,5752,7328,26455624,127596,38,2,0
2/1/2015,7214,9186,26464810,127608,72,8,0
2/2/2015,1686,2635,26467445,127608,6,0,0
2/3/2015,5443,7816,26475261,127612,5,1,0
2/4/2015,9854,13775,26489036,127624,27,1,0
2/5/2015,9977,12607,26501643,127630,13,1,0
2/6/2015,9334,11948,26513591,127635,26,4,0
2/7/2015,7346,10045,26523636,127640,83,7,0
2/8/2015,7180,9671,26533307,127642,65,7,0
2/9/2015,5717,7234,26540541,127646,10,3,0
2/10/2015,11289,14526,26555067,127652,36,5,0
2/11/2015,12453,16204,26571271,127657,46,12,0
2/12/2015,12651,16248,26587519,127667,45,4,0
2/13/2015,8595,10773,26598292,127674,28,2,0
2/14/2015,5124,6392,26604684,127678,54,2,0
2/15/2015,2837,3289,26607973,127681,12,0,0
2/16/2015,4500,5423,26613396,127682,19,2,0
2/17/2015,5289,6869,26620265,127683,14,2,0
2/18/2015,10001,12995,26633260,127693,35,6,0
2/19/2015,8485,10080,26643340,127696,14,0,0
2/20/2015,6825,8056,26651396,127700,14,3,0
2/21/2015,3453,4164,26655560,127701,24,5,0
2/22/2015,4654,6648,26662208,127706,55,4,0
2/23/2015,8343,10519,26672727,127714,11,8,0
2/24/2015,8483,10675,26683402,127729,12,1,0
2/25/2015,12057,15655,26699057,127739,49,5,0
2/26/2015,11047,14744,26713801,127747,26,7,0
2/27/2015,10861,14313,26728114,127753,57,10,0
2/28/2015,6836,8975,26737089,127754,71,3,0
3/1/2015,3169,4042,26741131,127763,37,4,0
3/2/2015,8019,10767,26751898,127770,27,3,0
3/3/2015,7178,9430,26761328,127775,18,2,0
3/4/2015,8265,10842,26772170,127779,28,4,0
3/5/2015,1821,2604,26774774,127784,4,0,0
3/6/2015,5953,8248,26783022,127792,19,6,0
3/7/2015,6255,8849,26791871,127799,96,9,0
3/8/2015,8711,13701,26805572,127819,245,16,0
3/9/2015,16365,24159,26829731,127852,218,24,0
3/10/2015,13080,17626,26847357,127886,126,17,0
3/11/2015,21728,33446,26880803,127936,386,29,0
3/12/2015,19246,26931,26907734,127977,195,22,0
3/13/2015,17850,24699,26932433,128023,239,27,0
3/14/2015,4302,5592,26938025,128041,60,5,0
3/15/2015,9676,13635,26951660,128071,260,31,0
3/16/2015,18476,26091,26977751,128108,273,35,0
3/17/2015,16287,22462,27000213,128143,178,21,0
3/18/2015,15050,11465,27011678,128169,110,15,0
3/19/2015,16699,16176,27027854,128191,150,14,0
3/20/2015,8786,11465,27039319,128204,58,6,0
3/21/2015,10236,16176,27055495,128216,367,23,0
3/22/2015,10638,16098,27071593,128249,381,10,0
3/23/2015,14669,18957,27090550,128287,111,25,0
3/24/2015,17532,23581,27114131,128313,168,34,0
3/25/2015,15851,21456,27135587,128347,136,22,0
3/26/2015,16193,22876,27158463,128385,125,25,0
3/27/2015,15433,21520,27179983,128417,188,19,0
3/28/2015,1255,1562,27181545,128431,10,2,0
3/29/2015,10585,17373,27198918,128485,473,27,0
3/30/2015,19250,26828,27225746,128527,244,53,0
3/31/2015,15199,20532,27246278,128576,122,38,0
4/1/2015,21566,31708,27277986,128629,325,34,0
4/2/2015,26346,43134,27321120,128698,864,65,0
4/3/2015,15978,23643,27344763,128735,365,27,0
4/4/2015,15538,27764,27372527,128783,1029,46,0
4/5/2015,14962,29709,27402236,128846,1208,52,0
4/6/2015,25502,43529,27445765,128940,1065,73,0
4/7/2015,17640,24209,27469974,129003,270,33,0
4/8/2015,19223,26004,27495978,129047,276,30,0
4/9/2015,17723,23891,27519869,129081,163,20,0
4/10/2015,17648,25628,27545497,129124,289,37,0
4/11/2015,20451,39786,27585283,129193,1600,59,0
4/12/2015,21851,46764,27632047,129273,1951,87,0
4/13/2015,26980,43753,27675800,129377,603,73,0
4/14/2015,24452,36555,27712355,129451,334,53,0
4/15/2015,30184,49727,27762082,129541,733,84,0
4/16/2015,29273,45915,27807997,129639,617,57,0
4/17/2015,26164,42203,27850200,129717,671,81,0
4/18/2015,31024,71371,27921571,129802,3685,138,0
4/19/2015,23444,46416,27967987,129901,1851,103,0
4/20/2015,12080,16377,27984364,129974,96,23,0
4/21/2015,27057,43508,28027872,130039,608,88,0
4/22/2015,23893,35999,28063871,130109,374,51,0
4/23/2015,23886,34259,28098130,130168,311,61,0
4/24/2015,22605,32678,28130808,130211,421,37,0
4/25/2015,22963,46054,28176862,130293,2095,85,0
4/26/2015,23608,48664,28225526,130378,1999,128,0
4/27/2015,27657,43197,28268723,130486,609,99,0
4/28/2015,32481,54129,28322852,130575,893,98,0
4/29/2015,34427,59166,28382018,130671,1087,150,0
4/30/2015,31756,51077,28433095,130745,785,102,0
5/1/2015,30345,48736,28481831,130840,917,106,0
5/2/2015,28295,60188,28542019,130899,2799,138,0
5/3/2015,30446,69728,28611747,130992,3361,154,0
5/4/2015,35115,63531,28675278,131145,1397,191,0
5/5/2015,35990,60088,28735366,131284,987,145,0
5/6/2015,32788,50987,28786353,131366,712,90,0
5/7/2015,37762,64189,28850542,131496,1271,133,0
5/8/2015,37206,64255,28914797,131607,1596,170,0
5/9/2015,26813,51941,28966738,131677,2077,158,0
5/10/2015,28962,62364,29029102,131752,2444,189,0
5/11/2015,35068,57873,29086975,131884,1084,198,0
5/12/2015,38186,62939,29149914,131979,1103,179,0
5/13/2015,36162,57091,29207005,132074,891,119,0
5/14/2015,44429,80286,29287291,132158,4927,82,0
5/15/2015,37687,64660,29351951,132225,1665,181,0
5/16/2015,26142,50862,29402813,132293,2392,155,0
5/17/2015,34006,73458,29476271,132357,3499,189,0
5/18/2015,33527,53794,29530065,132470,1031,129,0
5/19/2015,36272,58026,29588091,132561,943,177,0
5/20/2015,36020,57290,29645381,132643,923,100,0
5/21/2015,33076,50277,29695658,132711,746,105,0
5/22/2015,33898,58351,29754009,132765,1356,150,0
5/23/2015,25985,56999,29811008,132798,2967,166,0
5/24/2015,27400,66211,29877219,132839,3689,156,0
5/25/2015,30636,69099,29946318,132914,3392,221,0
5/26/2015,38282,64504,30010822,133006,1202,188,0
5/27/2015,35952,57511,30068333,133080,879,124,0
5/28/2015,38291,61662,30129995,133153,1014,144,0
5/29/2015,40179,69343,30199338,133217,1648,134,0
5/30/2015,33503,69481,30268819,133265,3082,192,0
5/31/2015,21196,40580,30309399,133339,1606,105,0
6/1/2015,16079,20369,30329768,133401,162,41,0
